cpu_num,cpu_percent,memory_info
191,0.0,3.6875
191,3388.2,19.1484375
191,2017.2,33.31640625
191,98.6,39.36328125
191,98.5,72.484375
191,97.8,79.71484375
191,87.9,83.45703125
191,97.5,85.79296875
191,87.8,89.51171875
191,97.6,92.6015625
191,107.3,93.6328125
191,97.2,124.25
191,96.9,138.7890625
191,87.0,147.3203125
191,96.5,156.2734375
191,106.1,166.1953125
191,96.4,184.40234375
191,86.5,191.33984375
191,105.7,191.33984375
191,96.2,191.33984375
191,96.0,207.6953125
191,105.1,213.453125
191,105.4,217.20703125
191,86.1,222.26171875
191,95.7,227.4609375
191,95.5,232.296875
191,105.1,235.94921875
191,105.1,238.48046875
191,95.4,238.953125
191,95.5,241.375
191,104.9,243.7421875
191,95.3,244.64453125
191,95.4,247.890625
191,104.9,251.55078125
191,95.4,253.84375
191,95.3,256.671875
191,95.3,258.14453125
191,104.8,259.43359375
169,95.3,261.62890625
191,85.7,264.44921875
191,76.1,265.234375
191,66.7,268.98046875
191,95.1,271.7421875
191,95.1,273.5390625
191,95.1,274.4140625
191,104.5,281.93359375
191,85.5,289.30078125
191,114.0,297.328125
191,85.4,302.484375
191,104.2,305.30859375
191,94.8,308.8984375
191,94.8,311.21484375
191,104.2,312.50390625
191,94.6,313.81640625
191,94.7,317.92578125
191,104.2,319.22265625
191,94.7,321.76953125
191,3863.8,330.19921875
191,1208.6,344.59765625
191,91.0,350.90625
191,100.3,356.21484375
191,99.7,361.3203125
191,90.7,376.8515625
191,108.4,387.66015625
191,90.3,394.390625
191,81.2,400.453125
191,99.2,400.453125
191,90.1,404.7109375
191,98.9,405.15234375
191,99.2,420.31640625
191,89.5,428.2421875
191,98.6,442.23046875
191,89.0,450.74609375
191,89.0,587.8984375
191,104.7,723.5078125
191,94.8,857.828125
191,102.4,989.5703125
191,100.8,1127.5
191,99.6,1266.71875
191,90.2,1266.06640625
191,98.2,1182.8359375
191,107.6,1318.1875
191,98.0,1458.4375
191,96.2,1483.9609375
191,103.9,1383.83984375
191,96.5,1529.50390625
191,95.7,1675.68359375
191,102.6,1821.86328125
191,101.2,1904.34375
191,100.6,1904.34375
191,92.7,1535.265625
191,103.5,1673.96875
191,102.6,1814.734375
191,93.2,1958.078125
191,99.9,2106.578125
191,103.8,2113.796875
191,98.1,2103.28515625
191,83.1,1807.109375
191,108.7,1957.671875
191,92.1,2107.9765625
191,98.2,2260.0859375
191,104.8,2336.140625
191,96.4,2336.29296875
191,96.6,2336.29296875
191,96.4,1712.4609375
191,86.1,1853.484375
191,100.6,1996.828125
191,99.3,2144.296875
191,97.7,2295.6328125
191,104.1,2349.2578125
191,96.1,2349.2578125
191,96.2,2349.2578125
191,103.6,1793.55078125
191,101.4,1941.01953125
191,100.2,2090.29296875
191,98.8,2241.37109375
191,97.9,2383.42578125
191,96.7,2383.42578125
191,103.8,2383.42578125
191,103.8,1746.640625
191,76.7,1887.40625
191,100.7,2031.265625
191,99.2,2181.3125
191,105.3,2334.1953125
191,96.4,2404.578125
191,103.3,2404.65234375
191,96.0,2404.65234375
191,96.5,2398.01171875
191,89.1,1846.5234375
191,93.3,1992.703125
191,107.2,2141.9765625
191,98.3,2292.796875
191,97.2,2441.296875
191,95.9,2595.7265625
191,109.0,2633.109375
191,94.4,2633.109375
191,101.8,2623.1328125
191,86.8,2061.83984375
191,106.5,2211.37109375
191,97.8,2362.44921875
191,96.4,2516.36328125
191,102.3,2670.27734375
191,101.0,2824.70703125
191,92.8,2840.69140625
191,99.9,2840.69140625
191,99.5,2831.83984375
