cpu_num,cpu_percent,memory_info
190,0.0,4.078125
18,2052.7,15.4609375
18,3158.9,27.93359375
18,98.4,64.078125
18,106.5,155.171875
18,93.8,256.6875
18,82.0,264.05859375
18,100.5,298.7265625
18,89.8,449.45703125
18,94.3,520.34765625
18,75.7,606.859375
18,82.3,691.140625
18,80.8,792.9453125
18,86.6,913.98046875
18,69.0,1004.69921875
18,82.9,1048.5
18,74.7,1083.4609375
18,74.1,1115.34765625
18,73.9,1149.6171875
18,72.8,1183.109375
18,72.3,1222.05078125
18,71.6,1226.26953125
18,78.8,1232.06640625
18,71.6,1240.125
18,78.6,1246.89453125
18,71.3,1252.44921875
18,71.2,1258.91796875
18,71.1,1264.1875
18,70.8,1270.19921875
18,78.0,1273.859375
18,91.6,1283.75
18,77.6,1286.05078125
18,70.6,1287.921875
18,70.5,1291.3125
18,70.5,1295.40234375
18,77.4,1300.9375
18,70.4,1305.21875
18,70.2,1316.77734375
18,70.0,1356.51171875
18,76.6,1380.44140625
18,62.4,1388.91015625
18,69.4,1391.25
18,89.8,1393.02734375
18,69.3,1394.8515625
18,76.2,1401.08984375
18,76.0,1404.86328125
18,69.1,1406.5625
18,82.6,1411.11328125
18,82.8,1417.90625
18,69.2,1426.26953125
18,68.8,1432.5
18,102.5,1438.421875
18,68.6,1446.359375
18,75.7,1450.359375
18,68.4,1470.640625
19,27.2,1478.79296875
19,0.0,1478.79296875
18,0.0,1479.05078125
18,0.0,1479.05078125
5,68.0,1489.13671875
5,67.7,1492.375
5,67.7,1494.98828125
5,74.1,1498.12890625
5,67.5,1499.984375
5,100.8,1500.0234375
5,67.4,1642.828125
5,98.7,1827.1640625
5,102.3,2011.2421875
5,99.7,2203.3828125
5,103.0,2323.265625
5,100.5,2238.22265625
5,96.7,2429.23046875
5,99.6,2534.16015625
5,97.7,2465.9296875
5,99.2,2624.484375
5,102.0,2784.84375
5,93.8,2947.0078125
5,99.9,2954.7421875
5,106.4,2540.2734375
5,71.6,2692.63671875
5,102.0,2847.83984375
5,107.9,3004.07421875
5,92.2,3162.62890625
5,98.4,3163.91796875
5,104.8,2749.57421875
5,75.4,2910.44921875
5,107.5,3072.35546875
5,99.1,3238.12890625
5,98.0,3386.37109375
5,96.5,3386.37109375
5,103.2,3386.37109375
5,96.4,2807.8203125
5,100.9,2964.5703125
5,99.8,3123.125
5,105.8,3277.5
5,98.0,3399.703125
5,89.4,3399.703125
5,103.2,3399.703125
5,103.3,2835.5
5,99.0,2994.0546875
5,99.7,3158.28125
5,98.5,3324.5703125
5,104.4,3433.8828125
5,96.0,3433.8984375
5,103.2,3433.8984375
5,103.1,2796.9296875
5,74.4,2951.6171875
5,100.3,3106.04296875
5,99.2,3265.11328125
5,97.6,3426.24609375
5,103.6,3454.86328125
5,103.0,3454.86328125
5,96.0,3445.65625
5,68.8,2905.59765625
5,100.3,3064.92578125
5,99.1,3221.93359375
5,104.9,3385.64453125
5,96.8,3550.64453125
5,95.9,3683.67578125
5,108.2,3683.67578125
5,94.6,3683.67578125
5,101.3,3025.71484375
5,75.8,3178.33984375
5,98.2,3328.12890625
5,97.3,3483.33203125
5,96.3,3644.46484375
5,102.1,3803.53515625
5,101.1,3891.24609375
5,100.1,3891.24609375
5,100.0,3891.24609375
5,99.9,3233.22265625
5,83.5,3382.23828125
5,90.2,3539.24609375
5,102.8,3702.44140625
5,94.9,3864.60546875
5,107.2,4027.02734375
5,99.3,4191.51171875
5,98.3,4302.19921875
5,101.9,4302.19921875
5,97.2,4302.19921875
5,103.8,4302.19921875
5,97.3,4292.4140625
5,71.4,3504.47265625
5,95.7,3662.51171875
5,101.6,3823.90234375
5,100.5,3985.80859375
5,92.8,4151.06640625
5,111.1,4316.58203125
5,96.9,4483.90234375
5,95.9,4505.30078125
5,101.9,4505.4453125
5,101.3,4505.4453125
5,95.1,3639.734375
5,76.9,3795.29296875
5,99.8,3949.20703125
5,99.0,4107.24609375
5,97.7,4267.08984375
5,103.5,4433.12109375
5,95.4,4595.02734375
5,101.6,4762.34765625
5,100.3,4917.29296875
5,99.5,4917.29296875
5,98.5,4917.29296875
5,99.2,4917.29296875
5,105.5,4908.9296875
5,81.3,3848.33984375
5,73.1,4009.98828125
5,92.4,4172.15234375
5,104.1,4335.86328125
5,96.9,4491.32421875
5,102.5,4657.09765625
5,94.5,4824.67578125
5,106.6,4998.18359375
5,99.2,5125.54296875
5,98.3,5125.54296875
5,97.2,5125.54296875
5,98.1,5125.54296875
5,104.4,5108.71484375
5,67.6,4056.7578125
5,73.0,4210.83984375
5,90.8,4371.71484375
5,102.9,4535.42578125
5,102.1,4696.30078125
5,101.2,4857.17578125
5,100.3,5015.98828125
5,98.4,5180.47265625
5,97.9,5347.01953125
5,97.0,5515.37109375
5,108.4,5525.16796875
5,96.6,5525.16796875
5,101.7,5525.16796875
5,96.1,5525.16796875
5,102.2,5516.875
5,72.5,4247.90625
5,69.6,4409.8046875
5,96.5,4572.7421875
5,102.0,4736.96875
5,95.0,4903.7734375
5,105.8,5066.96875
5,99.0,5239.703125
5,97.1,5414.5
5,96.8,5591.359375
5,108.3,5716.4140625
5,95.5,5716.4140625
5,101.9,5716.4140625
5,94.5,5716.4140625
5,107.1,5716.4140625
5,95.3,5716.4140625
5,101.7,5706.4453125
5,96.0,4438.9453125
5,68.7,4594.3515625
5,101.8,4755.2265625
5,94.7,4913.0078125
5,100.1,5074.65625
5,99.1,5236.5625
5,104.6,5402.078125
5,96.2,5568.8828125
5,101.9,5732.078125
5,101.0,5903.265625
5,100.5,5964.8828125
5,100.2,5964.8828125
5,98.9,5964.8828125
5,99.5,5964.9765625
5,99.4,5964.9765625
5,99.8,4496.5078125
5,78.3,4661.25
5,100.3,4821.60546875
5,99.4,4986.60546875
5,98.8,5153.92578125
5,97.7,5323.05078125
5,103.1,5491.91796875
5,103.1,5662.33203125
5,96.6,5830.16796875
5,101.8,6002.12890625
5,95.0,6022.3515625
